
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005810                       # Number of seconds simulated (Second)
simTicks                                   5809915500                       # Number of ticks simulated (Tick)
finalTick                                  5809915500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.07                       # Real time elapsed on the host (Second)
hostTickRate                                206948812                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     747456                       # Number of bytes of host memory used (Byte)
simInsts                                      8560509                       # Number of instructions simulated (Count)
simOps                                       15647543                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   304924                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     557363                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11619832                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.357376                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.736715                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        24202455                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197449                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22036034                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1840                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8752355                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14553889                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 550                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11458488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.923119                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.493839                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.BTB.hit_map_155                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_156                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_157                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_158                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_159                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_160                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_161                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_162                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_163                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_164                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_165                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_166                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_167                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_168                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_169                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_170                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_171                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_172                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_173                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_174                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_175                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_176                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_177                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_178                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_179                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_180                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_181                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_182                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_183                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_184                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_185                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_186                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_187                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_188                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_189                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_190                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_191                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_192                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_193                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_194                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_195                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_196                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_197                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_198                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_199                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_200                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_201                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_202                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_203                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_204                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_205                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_206                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_207                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_208                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_209                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_210                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_211                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_212                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_213                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_214                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_215                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_216                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_217                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_218                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_219                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_220                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_221                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_222                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_223                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_224                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_225                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_226                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_227                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_228                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_229                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_230                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_231                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_232                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_233                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_234                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_235                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_236                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_237                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_238                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_239                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_240                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_241                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_242                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_243                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_244                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_245                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_246                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_247                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_248                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_249                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_250                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_251                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_252                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_253                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_254                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_255                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_256                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_257                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_258                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_259                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_260                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_261                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_262                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_263                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_264                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_265                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_266                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_267                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_268                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_269                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_270                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_271                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_272                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_273                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_274                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_275                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_276                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_277                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_278                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_279                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
